case,x_type,M_center,x_center,epsilon_center,contribution_fraction,contribution_percent
PSA0p2_total,Rrup_km,6.65,1.95,1,0.0007184648336,0.071846483
PSA0p2_total,Rrup_km,6.65,1.95,3,0.001078407301,0.10784073
PSA0p2_total,Rrup_km,6.65,1.95,5,1.87513996e-06,0.000187514
PSA0p2_total,Rrup_km,6.65,2.05,1,9.051265732e-05,0.0090512657
PSA0p2_total,Rrup_km,6.65,2.05,3,0.000134749357,0.013474936
PSA0p2_total,Rrup_km,6.65,2.05,5,2.343157723e-07,2.3431577e-05
PSA0p2_total,Rrup_km,6.65,2.25,1,7.76531641e-05,0.0077653164
PSA0p2_total,Rrup_km,6.65,2.25,3,0.0001346438023,0.01346438
PSA0p2_total,Rrup_km,6.65,2.25,5,2.343929836e-07,2.3439298e-05
PSA0p2_total,Rrup_km,6.65,2.85,1,4.871358681e-05,0.0048713587
PSA0p2_total,Rrup_km,6.65,2.85,3,0.0001341951949,0.013419519
PSA0p2_total,Rrup_km,6.65,2.85,5,2.343929836e-07,2.3439298e-05
PSA0p2_total,Rrup_km,6.65,3.05,1,4.129524234e-05,0.0041295242
PSA0p2_total,Rrup_km,6.65,3.05,3,0.0001340026553,0.013400266
PSA0p2_total,Rrup_km,6.65,3.05,5,2.343157723e-07,2.3431577e-05
PSA0p2_total,Rrup_km,6.65,3.65,1,1.611429161e-05,0.0016114292
PSA0p2_total,Rrup_km,6.65,3.65,3,0.000132067486,0.013206749
PSA0p2_total,Rrup_km,6.65,3.65,5,2.343929836e-07,2.3439298e-05
PSA0p2_total,Rrup_km,6.65,4.05,1,6.648831232e-06,0.00066488312
PSA0p2_total,Rrup_km,6.65,4.05,3,0.0001261554461,0.012615545
PSA0p2_total,Rrup_km,6.65,4.05,5,2.343157723e-07,2.3431577e-05
PSA0p2_total,Rrup_km,6.65,4.45,1,6.345283312e-07,6.3452833e-05
PSA0p2_total,Rrup_km,6.65,4.45,3,0.0001149568754,0.011495688
PSA0p2_total,Rrup_km,6.65,4.45,5,2.343929836e-07,2.3439298e-05
PSA0p2_total,Rrup_km,6.75,0.05,1,0.008971728319,0.89717283
PSA0p2_total,Rrup_km,6.75,0.05,3,0.005803719341,0.58037193
PSA0p2_total,Rrup_km,6.75,0.05,5,9.957521154e-06,0.00099575212
PSA0p2_total,Rrup_km,6.75,1.05,1,0.0008409258656,0.084092587
PSA0p2_total,Rrup_km,6.75,1.05,3,0.0007183338676,0.071833387
PSA0p2_total,Rrup_km,6.75,1.05,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,1.95,1,0.00441066133,0.44106613
PSA0p2_total,Rrup_km,6.75,1.95,3,0.005726556909,0.57265569
PSA0p2_total,Rrup_km,6.75,1.95,5,9.957521154e-06,0.00099575212
PSA0p2_total,Rrup_km,6.75,2.05,1,0.000555601767,0.055560177
PSA0p2_total,Rrup_km,6.75,2.05,3,0.0007157810079,0.071578101
PSA0p2_total,Rrup_km,6.75,2.05,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,2.25,1,0.0004850970988,0.04850971
PSA0p2_total,Rrup_km,6.75,2.25,3,0.0007149893478,0.071498935
PSA0p2_total,Rrup_km,6.75,2.25,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,2.85,1,0.000326740631,0.032674063
PSA0p2_total,Rrup_km,6.75,2.85,3,0.0007126182767,0.071261828
PSA0p2_total,Rrup_km,6.75,2.85,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,3.05,1,0.0002862525888,0.028625259
PSA0p2_total,Rrup_km,6.75,3.05,3,0.0007118383448,0.071183834
PSA0p2_total,Rrup_km,6.75,3.05,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,3.65,1,0.0001392031785,0.013920318
PSA0p2_total,Rrup_km,6.75,3.65,3,0.0007089707758,0.070897078
PSA0p2_total,Rrup_km,6.75,3.65,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,4.05,1,6.713532347e-05,0.0067135323
PSA0p2_total,Rrup_km,6.75,4.05,3,0.0006962709829,0.069627098
PSA0p2_total,Rrup_km,6.75,4.05,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.75,4.45,1,1.091112958e-05,0.001091113
PSA0p2_total,Rrup_km,6.75,4.45,3,0.0006564035632,0.065640356
PSA0p2_total,Rrup_km,6.75,4.45,5,1.244695031e-06,0.0001244695
PSA0p2_total,Rrup_km,6.85,0.05,1,0.02221945755,2.2219458
PSA0p2_total,Rrup_km,6.85,0.05,3,0.01385757145,1.3857571
PSA0p2_total,Rrup_km,6.85,0.05,5,2.377208884e-05,0.0023772089
PSA0p2_total,Rrup_km,6.85,1.05,1,0.002112110237,0.21121102
PSA0p2_total,Rrup_km,6.85,1.05,3,0.001714843436,0.17148434
PSA0p2_total,Rrup_km,6.85,1.05,5,2.971501332e-06,0.00029715013
PSA0p2_total,Rrup_km,6.85,1.95,1,0.01136159399,1.1361594
PSA0p2_total,Rrup_km,6.85,1.95,3,0.01367666244,1.3676662
PSA0p2_total,Rrup_km,6.85,1.95,5,2.378196016e-05,0.002378196
PSA0p2_total,Rrup_km,6.85,2.05,1,0.001430793812,0.14307938
PSA0p2_total,Rrup_km,6.85,2.05,3,0.001708783815,0.17087838
PSA0p2_total,Rrup_km,6.85,2.05,5,2.971501332e-06,0.00029715013
PSA0p2_total,Rrup_km,6.85,2.25,1,0.001261398083,0.12613981
PSA0p2_total,Rrup_km,6.85,2.25,3,0.001707610985,0.1707611
PSA0p2_total,Rrup_km,6.85,2.25,5,2.972742576e-06,0.00029727426
PSA0p2_total,Rrup_km,6.85,2.85,1,0.0008806486363,0.088064864
PSA0p2_total,Rrup_km,6.85,2.85,3,0.001701981401,0.17019814
PSA0p2_total,Rrup_km,6.85,2.85,5,2.972742576e-06,0.00029727426
PSA0p2_total,Rrup_km,6.85,3.05,1,0.0007833614203,0.078336142
PSA0p2_total,Rrup_km,6.85,3.05,3,0.001699420723,0.16994207
PSA0p2_total,Rrup_km,6.85,3.05,5,2.971501332e-06,0.00029715013
PSA0p2_total,Rrup_km,6.85,3.65,1,0.0004274251442,0.042742514
PSA0p2_total,Rrup_km,6.85,3.65,3,0.001693322007,0.1693322
PSA0p2_total,Rrup_km,6.85,3.65,5,2.972742576e-06,0.00029727426
PSA0p2_total,Rrup_km,6.85,4.05,1,0.000226882963,0.022688296
PSA0p2_total,Rrup_km,6.85,4.05,3,0.00168779016,0.16877902
PSA0p2_total,Rrup_km,6.85,4.05,5,2.971501332e-06,0.00029715013
PSA0p2_total,Rrup_km,6.85,4.45,1,5.25443424e-05,0.0052544342
PSA0p2_total,Rrup_km,6.85,4.45,3,0.001628435194,0.16284352
PSA0p2_total,Rrup_km,6.85,4.45,5,2.972742576e-06,0.00029727426
PSA0p2_total,Rrup_km,6.95,0.05,1,0.04099685488,4.0996855
PSA0p2_total,Rrup_km,6.95,0.05,3,0.02474944707,2.4749447
PSA0p2_total,Rrup_km,6.95,0.05,5,4.245008883e-05,0.0042450089
PSA0p2_total,Rrup_km,6.95,1.05,1,0.003948361112,0.39483611
PSA0p2_total,Rrup_km,6.95,1.05,3,0.003062121987,0.3062122
PSA0p2_total,Rrup_km,6.95,1.05,5,5.306263547e-06,0.00053062635
PSA0p2_total,Rrup_km,6.95,1.95,1,0.02171963655,2.1719637
PSA0p2_total,Rrup_km,6.95,1.95,3,0.0244221298,2.442213
PSA0p2_total,Rrup_km,6.95,1.95,5,4.246777902e-05,0.0042467779
PSA0p2_total,Rrup_km,6.95,2.05,1,0.002735537733,0.27355377
PSA0p2_total,Rrup_km,6.95,2.05,3,0.003051341726,0.30513417
PSA0p2_total,Rrup_km,6.95,2.05,5,5.306263547e-06,0.00053062635
PSA0p2_total,Rrup_km,6.95,2.25,1,0.0024312177,0.24312177
PSA0p2_total,Rrup_km,6.95,2.25,3,0.003049269726,0.30492697
PSA0p2_total,Rrup_km,6.95,2.25,5,5.308472377e-06,0.00053084724
PSA0p2_total,Rrup_km,6.95,2.85,1,0.001748953238,0.17489532
PSA0p2_total,Rrup_km,6.95,2.85,3,0.003039271351,0.30392714
PSA0p2_total,Rrup_km,6.95,2.85,5,5.308472377e-06,0.00053084724
PSA0p2_total,Rrup_km,6.95,3.05,1,0.001575237586,0.15752376
PSA0p2_total,Rrup_km,6.95,3.05,3,0.003034716862,0.30347169
PSA0p2_total,Rrup_km,6.95,3.05,5,5.306263547e-06,0.00053062635
PSA0p2_total,Rrup_km,6.95,3.65,1,0.0009326265018,0.09326265
PSA0p2_total,Rrup_km,6.95,3.65,3,0.003023897506,0.30238975
PSA0p2_total,Rrup_km,6.95,3.65,5,5.308472377e-06,0.00053084724
PSA0p2_total,Rrup_km,6.95,4.05,1,0.0005704497933,0.057044979
PSA0p2_total,Rrup_km,6.95,4.05,3,0.00301408483,0.30140848
PSA0p2_total,Rrup_km,6.95,4.05,5,5.306263547e-06,0.00053062635
PSA0p2_total,Rrup_km,6.95,4.45,1,0.0001651207641,0.016512076
PSA0p2_total,Rrup_km,6.95,4.45,3,0.002994391061,0.29943911
